cluster_id	KSLabel
0	good
1	good
2	mua
3	mua
4	mua
5	mua
6	good
7	mua
8	mua
9	good
10	mua
11	mua
12	mua
13	good
14	mua
15	mua
16	mua
17	mua
18	mua
19	mua
20	mua
21	good
22	good
23	mua
24	mua
25	mua
26	mua
27	good
28	good
29	mua
30	mua
31	good
32	good
33	good
34	mua
35	mua
36	mua
37	good
38	mua
39	mua
40	good
41	good
42	mua
43	good
44	mua
45	mua
46	mua
47	mua
48	mua
49	mua
50	mua
51	mua
52	mua
53	mua
54	good
55	mua
56	mua
57	mua
58	good
59	mua
60	mua
61	mua
62	mua
63	good
64	mua
65	mua
66	mua
67	mua
68	mua
69	mua
70	good
71	mua
72	mua
73	mua
74	mua
75	mua
76	mua
77	mua
78	mua
79	mua
80	mua
81	mua
82	mua
83	mua
